Prompt, Delta, Non-Indie Median, Indie Median
Perf1, 0.0, 4.0, 4
Perf2, 0.5, 2.5, 2
Perf3, -1, 4, 5
Perf4, 3.0, 5.0, 2
Perf5, 2, 5, 3
Perf6, 1, 5, 4
Perf7, 1.0, 5.0, 4
Perf8, 0.0, 5.0, 5
Plan1, 0.5, 4.5, 4.0
Plan2, -1.0, 3.0, 4
Plan3, 0, 4, 4
Plan4, 3, 4, 1
Plan5, -2, 1, 3
Plan6, -1, 3, 4
Plan7, 2, 4, 2
Plan8, 0.5, 3.5, 3
Plan9, -2.0, 2.0, 4
Goals1, 0, 5, 5
Goals2, 0, 5, 5
Goals3, 0, 5, 5
Goals4, -2, 2, 4
Auto1, 0.0, 5.0, 5
Auto2, 3.0, 4, 1.0
Auto3, 1, 4, 3
Auto4, -0.5, 3.5, 4.0
Auto5, -0.5, 2, 2.5
Auto6, 0, 5, 5
Auto7, 2.0, 5, 3.0
Auto8, 0.0, 5, 5.0
Auto9, 1, 3, 2
Auto10, 0, 3, 3
Tools1, 0.5, 4.5, 4
Tools2, -0.5, 3.5, 4.0
Tools3, 1.0, 5.0, 4
Tools4, -1.0, 4.0, 5
Tools5, 0.0, 4.0, 4.0
Tools6, 0, 4, 4
Out1, -1.0, 4.0, 5
Out2, -0.5, 3.5, 4
Out3, 0.0, 4.0, 4
Out4, 0, 4, 4
Out5, -2.0, 2.0, 4
Out6, 3.0, 5.0, 2
Res1, 0.0, 4.0, 4
Res2, 2, 4, 2
Res3, 1.0, 3, 2.0
Res4, 2.0, 4.0, 2
Res5, 0.0, 4.0, 4
Res6, 1.0, 2, 1.0
Res7, -1, 4, 5
Res8, -4, 1, 5
Res9, 0, 5, 5
