Prompt, U-Statistic, Effect Size, P-Value, Indie Median, Non-Indie Median, Outcome
Perf1, 45.5, 0.41, 0.5073058828890795, 4.0, 4.0,FAIL TO REJECT
Perf2, 39.0, 0.35, 0.25751526138892067, 2.0, 2.5,FAIL TO REJECT
Perf3, 68.5, 0.69, 0.11779893113747734, 5.0, 4.0,FAIL TO REJECT
Perf4, 29.0, 0.26, 0.05929549109046482, 2.0, 5.0,FAIL TO REJECT
Perf5, 32.0, 0.26, 0.054704642379705896, 3.0, 5.0,FAIL TO REJECT
Perf6, 37.0, 0.31, 0.10813710565337019, 4.0, 5.0,FAIL TO REJECT
Perf7, 32.0, 0.29, 0.0801975350577044, 4.0, 5.0,FAIL TO REJECT
Perf8, 48.0, 0.44, 0.5621009716760212, 5.0, 5.0,FAIL TO REJECT
Plan1, 43.0, 0.43, 0.6028344730388537, 4.0, 4.5,FAIL TO REJECT
Plan2, 60.5, 0.55, 0.7133863242420745, 4.0, 3.0,FAIL TO REJECT
Plan3, 56.0, 0.46, 0.781954792786082, 4.0, 4.0,FAIL TO REJECT
Plan4, 18.5, 0.19, 0.015334501605383221, 1.0, 4.0,REJECT
Plan5, 100.0, 0.83, 0.006823759414032291, 3.0, 1.0,REJECT
Plan6, 55.5, 0.56, 0.6581301807173916, 4.0, 3.0,FAIL TO REJECT
Plan7, 30.5, 0.25, 0.04776133591503002, 2.0, 4.0,FAIL TO REJECT
Plan8, 31.5, 0.35, 0.27813290561741766, 3.0, 3.5,FAIL TO REJECT
Plan9, 46.5, 0.53, 0.8640803746442965, 4.0, 2.0,FAIL TO REJECT
Goals1, 60.5, 0.50, 1.0, 5.0, 5.0,FAIL TO REJECT
Goals2, 60.0, 0.50, 1.0, 5.0, 5.0,FAIL TO REJECT
Goals3, 68.0, 0.56, 0.6045211144824885, 5.0, 5.0,FAIL TO REJECT
Goals4, 100.5, 0.83, 0.007963130877458638, 4.0, 2.0,REJECT
Auto1, 73.0, 0.66, 0.09815631122890565, 5.0, 5.0,FAIL TO REJECT
Auto2, 28.0, 0.40, 0.4893581684233894, 1.0, 4.0,FAIL TO REJECT
Auto3, 12.0, 0.34, 0.40762594770278093, 3.0, 4.0,FAIL TO REJECT
Auto4, 30.0, 0.62, 0.45501034873542545, 4.0, 3.5,FAIL TO REJECT
Auto5, 20.5, 0.49, 1.0, 2.5, 2.0,FAIL TO REJECT
Auto6, 34.0, 0.54, 0.7964399635857435, 5.0, 5.0,FAIL TO REJECT
Auto7, 16.0, 0.38, 0.5059485706736504, 3.0, 5.0,FAIL TO REJECT
Auto8, 38.0, 0.53, 0.8695198095771317, 5.0, 5.0,FAIL TO REJECT
Auto9, 27.5, 0.44, 0.7014366738872506, 2.0, 3.0,FAIL TO REJECT
Auto10, 16.0, 0.46, 0.8679828147574314, 3.0, 3.0,FAIL TO REJECT
Tools1, 40.0, 0.44, 0.7001980688015061, 4.0, 4.5,FAIL TO REJECT
Tools2, 45.5, 0.57, 0.64663823858216, 4.0, 3.5,FAIL TO REJECT
Tools3, 31.0, 0.34, 0.21629143882849988, 4.0, 5.0,FAIL TO REJECT
Tools4, 41.0, 0.59, 0.5354027781407312, 5.0, 4.0,FAIL TO REJECT
Tools5, 25.0, 0.42, 0.578558139649338, 4.0, 4.0,FAIL TO REJECT
Tools6, 43.5, 0.36, 0.2423514397779003, 4.0, 4.0,FAIL TO REJECT
Out1, 62.5, 0.57, 0.5848931305821707, 5.0, 4.0,FAIL TO REJECT
Out2, 66.5, 0.60, 0.4274078268488909, 4.0, 3.5,FAIL TO REJECT
Out3, 25.0, 0.23, 0.020714182049986703, 4.0, 4.0,REJECT
Out4, 57.0, 0.47, 0.835557405662938, 4.0, 4.0,FAIL TO REJECT
Out5, 58.5, 0.65, 0.26735488604979774, 4.0, 2.0,FAIL TO REJECT
Out6, 17.0, 0.19, 0.018447563393069584, 2.0, 5.0,REJECT
Res1, 43.5, 0.40, 0.40719047754431315, 4.0, 4.0,FAIL TO REJECT
Res2, 18.0, 0.15, 0.00397615864572307, 2.0, 4.0,REJECT
Res3, 19.0, 0.21, 0.02857051440013823, 2.0, 3.0,FAIL TO REJECT
Res4, 9.5, 0.09, 0.0010116210021032994, 2.0, 4.0,REJECT
Res5, 35.0, 0.40, 0.4652169461278175, 4.0, 4.0,FAIL TO REJECT
Res6, 34.0, 0.31, 0.09338271988669195, 1.0, 2.0,FAIL TO REJECT
Res7, 93.5, 0.77, 0.006063969526134527, 5.0, 4.0,REJECT
Res8, 116.0, 0.96, 0.00018781003671095167, 5.0, 1.0,REJECT
Res9, 51.0, 0.66, 0.19385401933820523, 5.0, 5.0,FAIL TO REJECT
